[00:00:00] 给大家。
[00:00:02] 这个热个场好吧，
[00:00:04] 小爱同学。
[00:00:05] 小爱同学，
[00:00:06] 最近罢工了啊，
[00:00:07] 可能是没给他发工资，
[00:00:09] 我给你们放首歌吧，
[00:00:10] 行不行？
[00:00:11] 哎呀，
[00:00:12] 看着。
[00:00:28] 嗯嗯嗯。
[00:00:33] 啊。
[00:00:37] 小爱同学，
[00:00:40] 小爱小爱你好小爱。
[00:00:46] 那原本该是我抚育你的承诺，
[00:00:52] 现在我只能用承诺当初。
[00:00:56] 你好小爱小爱同学。
[00:01:03] 只有你知道我痛，
[00:01:06] 喝了几杯酒，
[00:01:08] 我不能再看你多一眼都是痛，
[00:01:13] 即使觉得。
[00:01:15] 到底有没有回头？
[00:01:18] 我终于知道去终缘分的结果，
[00:01:25] 只有伤心的。
[00:01:27] 你最后一身光残留在回忆中。
[00:01:35] 没有再一点的借口，
[00:01:39] 原来就只是曲终人散的寂。
[00:01:45] 为我。
[00:01:46] 我还想和你相逢。
[00:01:50] 你紧紧拉着我衣袖，
[00:01:53] 你不放开，
[00:01:55] 让我走，
[00:01:56] 这一次你我确定。
[00:01:59] 你何说。
[00:02:02] 是。
[00:02:06] 心。
[00:02:12] 你。
[00:02:16] 当你听着所有人相遇祝歌的时候。
[00:02:23] 只要你知道我多喝了几杯酒，
[00:02:28] 我不能再看你多一眼都是痛。
[00:02:33] 即使知道你也没有回头，
[00:02:38] 我来这城市去找更亮的寂寞。
[00:02:44] 我还想等你什么？
[00:02:48] 你紧紧拉住我衣袖。
[00:02:52] 又放开，
[00:02:54] 让我看见你，
[00:02:57] 让我彻底分手。
[00:03:00] 我要的就是你。
[00:03:03] 我终于知道曲终人散的寂寞，
[00:03:09] 只有伤心的在。
[00:03:12] 你最后一首歌。
[00:03:16] 拥有在无言中，
[00:03:19] 我没有在预言的借口。
[00:03:24] 原来这就是曲终人散的寂寞，
[00:03:30] 我还想等你相。
[00:03:33] 你紧紧拉着我衣袖，
[00:03:37] 也算该让我走这一次更不彻底。
[00:03:43] 歌声。
[00:03:44] 你紧紧拉住我的手，
[00:03:49] 勇敢敢让我走，
[00:03:53] 却一次跟我彻底分手。
[00:03:58] 啊。
[00:04:06] 啊。
[00:04:24] 啊。
[00:04:30] 像我这样优秀的人。
[00:04:36] 等待苍浪过一生。
[00:04:40] 怎么30多年到头来？
[00:04:44] 爱在人海里浮沉。
[00:04:48] 像我这样聪明的人。
[00:04:51] 早就告别了单纯。
[00:04:55] 怎么还是用了一段情去换一生伤痕？
[00:05:03] 像我这样迷茫的人。
[00:05:07] 像我这样睡着的人好了，
[00:05:10] 所有的同学们，
[00:05:12] 大家如果能够听见的话。
[00:05:15] 就把你们家乡的名字打在评论区，
[00:05:18] 为你们家乡呢做一次文旅宣传啊，
[00:05:20] 现在各个地方的文旅局呢，
[00:05:22] 工作都非常的热情，
[00:05:23] 也非常的火爆啊，
[00:05:24] 都是希望大家。
[00:05:25] 到他那个地方去旅游，
[00:05:27] 临沂的，
[00:05:28] 还有我的老乡啊，
[00:05:29] 通辽的，
[00:05:30] 我去过你们通辽啊，
[00:05:31] 通辽很厉害哈，
[00:05:33] 通辽有内蒙古，
[00:05:34] 有吉林，
[00:05:35] 还有。
[00:05:35] 这个交界的地方很厉害的，
[00:05:37] 然后呢，
[00:05:38] 我家里面的话呢，
[00:05:39] 原来有个人有个亲戚嘛，
[00:05:41] 在通辽那边专门开火车。
[00:05:42] 一直往那个东北那边开，
[00:05:45] 呜呜呜是吧？
[00:05:46] 枣庄的，
[00:05:47] 还有叫水库的水，
[00:05:48] 有个地方叫水库吗？
[00:05:50] 安尔的天津的。
[00:05:52] 天水的我去过天水大庆，
[00:05:53] 我去过大庆，
[00:05:54] 有一个油田，
[00:05:55] 我原来在中石油工作过啊，
[00:05:57] 孟屯孟屯是哪个地方我不知道，
[00:06:00] 临沂济宁牡丹江我都去过。
[00:06:02] 济宁，
[00:06:02] 昆山，
[00:06:03] 怀化，
[00:06:03] 怀化我去过啊，
[00:06:04] 然后呢？
[00:06:05] 咸阳，
[00:06:05] 咸阳我也去过，
[00:06:07] 肯定去过的，
[00:06:08] 赤峰你看标准的人都说赤峰，
[00:06:10] 安庆我也去过，
[00:06:12] 株洲去过，
[00:06:12] 济宁去过，
[00:06:13] 沧州去过，
[00:06:14] 重庆去过。
[00:06:15] 青海去过益阳，
[00:06:16] 去过南京，
[00:06:17] 去过广汉，
[00:06:18] 我也去过重庆，
[00:06:19] 我也去过宜宾，
[00:06:21] 我也去过泰安，
[00:06:22] 我在泰安还有个房子。
[00:06:24] 然后呢？
[00:06:24] 天津我也去过沈阳，
[00:06:26] 我也去过丽水，
[00:06:27] 也去过哈尔滨，
[00:06:28] 也去过河南，
[00:06:29] 打河南这么河那么耐琢磨到河南，
[00:06:32] 我也去过。
[00:06:33] 然后呢？
[00:06:33] 乐山乐山大佛我也去过敦煌，
[00:06:35] 也去过丽江，
[00:06:36] 也去过我的妈呀，
[00:06:38] 新乡我也去过行挺好的，
[00:06:40] 所有的同学们。
[00:06:41] 嗯，
[00:06:41] 感谢同学啊，
[00:06:42] 然后呢，
[00:06:43] 把你们家乡的瓶子名字呢，
[00:06:44] 都打在评论区了，
[00:06:46] 大家现在如果能够听见的话，
[00:06:48] 打个一我们直播呢，
[00:06:49] 也就正式开始了。
[00:06:50] 这节课要给大家讲的这道题目呢，
[00:06:53] 是二六年国考的一个题目，
[00:06:56] 大家来看一下这个题目到底是难还是不难？
[00:06:59] 给定材料五中提到，
[00:07:01] 要获得真正的进步，
[00:07:03] 不能只是一味的往前跑，
