[00:00:00] 好好吧。
[00:00:01] 然后呢？
[00:00:01] 这个是我们这节课先测试一下我们的翻页笔啊，
[00:00:07] 小爱同学播放。
[00:00:09] 什么歌啊？
[00:00:11] 小爱同学听到歌曲信息哦，
[00:00:13] 我会继续努力的。
[00:00:15] 小爱同学放播放放手去爱。
[00:00:21] 好呀，
[00:00:22] 小爱和你一起欣赏音乐会员最佳小爱同学，
[00:00:26] 我在播放大壮，
[00:00:28] 我们不一样。
[00:00:31] 好呀，
[00:00:31] 小爱和你一起欣赏会员，
[00:00:34] 尊享歌曲大众的，
[00:00:36] 我们不一样。
[00:00:37] 嗯嗯嗯。
[00:00:56] 啊啊啊。
[00:01:06] 这么多年的兄弟，
[00:01:09] 有谁比我更了解你？
[00:01:13] 太多太多不容易磨平了岁月和脾气，
[00:01:19] 时间转眼就过去，
[00:01:22] 这深口不散的宴席。
[00:01:26] 是因为我们还在停留在原地，
[00:01:33] 张开手需要。
[00:01:36] 多大的勇气，
[00:01:39] 这一天你我一起撑起更努力，
[00:01:47] 只为了。
[00:01:49] 我们想要的，
[00:01:52] 明天好好的，
[00:01:55] 这份情好好珍惜，
[00:01:59] 我们不一样不一样。
[00:02:04] 每个人都有不同的境遇，
[00:02:08] 我们在这里在这里等你，
[00:02:13] 我们不一样。
[00:02:16] 虽然会经历不同的事情，
[00:02:21] 我们都希望。
[00:02:23] 来生还能相遇。
[00:02:28] 这么多年的兄弟，
[00:02:32] 有谁比我更了解你太多太多，
[00:02:37] 不文明磨平了岁月和脾气。
[00:02:42] 时间转眼就过去，
[00:02:45] 说声口不散人的宴席，
[00:02:48] 只因为我们还在心留在原地。
[00:02:53] 张开手需要多大的勇气？
[00:03:02] 这片天和你我一起撑起更鼓励。
[00:03:10] 只为了我们想要的，
[00:03:15] 明天好好的，
[00:03:17] 这份情好好珍惜我们不一样。
[00:03:24] 我一样每个人都有不同的境遇，
[00:03:30] 我们在这里。
[00:03:32] 在这里等你，
[00:03:35] 我们不一样不一样。
[00:03:39] 虽然会经历不同的事情，
[00:03:44] 我们的希望来生还能相遇。
[00:03:48] 我。
[00:03:50] 啊啊啊。
[00:04:00] 我我的姑娘。
[00:04:02] 我们不一样，
[00:04:06] 不一样。
[00:04:08] 每个人都有不同的境遇。
[00:04:12] 我们在这里。
[00:04:14] 在这里等你，
[00:04:18] 我们不一样。
[00:04:22] 虽然会经历不同的事情，
[00:04:26] 我们的期望来生还能相遇。
[00:04:31] 嗯。
[00:04:32] 我们不一样，
[00:04:35] 虽然会经历不同的事情。
[00:04:40] 我们都希望来生还能相遇。
[00:04:45] 我们的计划来生还能相遇。
[00:05:04] 小爱同学，
[00:05:07] 我在。
[00:05:09] 播放。
[00:05:10] 南山南，
