[00:00:00] 先试一下翻页笔热个场好吧，
[00:00:03] 小爱同学嗯，
[00:00:04] 播放向天再借500年。
[00:00:07] 好的。
[00:00:12] 嗯。
[00:00:17] 啊。
[00:00:21] 啊。
[00:00:23] 你。
[00:00:27] 嗯。
[00:00:32] 小爱同学，
[00:00:34] 大点声。
[00:00:36] 温柔的曲线换我爱的中原爱的你。
[00:00:46] 江南一路都是清风一路。
[00:00:54] 情的陪伴，
[00:00:56] 这是从此以后的金色的画面，
[00:01:03] 我的眼睛里不再有否认和。
[00:01:08] 去前行好情不变，
[00:01:11] 人不比女人做人，
[00:01:14] 有苦有甜，
[00:01:15] 善了分开，
[00:01:17] 两边都会梦中的。
[00:01:20] 明天他天天成长。
[00:01:25] 岸旁边我流过山，
[00:01:29] 我站在关口的前进，
[00:01:33] 我出是我先走了。
[00:01:37] 血染的世界。
[00:01:45] 我真的还想再活500年。
[00:02:06] 你做人也一样，
[00:02:09] 爱你做人和我今天心好，
[00:02:13] 情不变，
[00:02:14] 恋佛一面，
[00:02:15] 你做人有。
[00:02:17] 天上的魂开亮又魂回梦中的明天啊。
[00:02:25] 寻找你旁边那座山，
[00:02:31] 我站在断头楼静静默听。
[00:02:38] 只是无声中，
[00:02:42] 却是无人间。
[00:02:46] 我的心里。
[00:02:48] 我真的爱像在呵护百年，
[00:02:55] 我真的爱像在。
[00:03:00] 我孤独百年。
[00:03:08] 嘿嘿嘿。
[00:03:14] 啊。
[00:03:44] 嗯。
[00:03:58] 爱一个人可以爱多久？
[00:04:05] 心疼到哪里才是尽头花瓣雨。
[00:04:13] 像我。
[00:04:15] 小爱同学播放唯一爱过你。
[00:04:21] 好的，
[00:04:22] 小爱想陪你一起听会员歌曲，
[00:04:25] 金玉儿的唯一爱过你。
[00:04:37] 啦啦啦。
[00:04:41] 昨夜温存，
[00:04:43] 不该相遇，
[00:04:45] 真心付出，
[00:04:47] 难逃结局。
[00:04:49] 爱到深处，
[00:04:51] 只剩回忆在脑海之中翻来覆去。
[00:04:58] 两个世界都已远行，
[00:05:02] 孤单依然仍在痴迷。
[00:05:07] 相遇容易，
[00:05:09] 相守是难题，
[00:05:11] 我爱你需要太多勇气。
[00:05:16] 我走的路上全部是你今生今世最爱的人，
[00:05:23] 是你又怎相逢？
[00:05:26] 遇上了你，
[00:05:28] 成为我这一生的唯一，
[00:05:31] 我想你，
[00:05:33] 爱你，
[00:05:34] 无法放弃。
[00:05:35] 就算输掉全部，
[00:05:37] 我也愿意。
[00:05:39] 可怜可叹，
[00:05:41] 可悲可喜，
[00:05:42] 此生唯一爱过的是你。
[00:05:47] 小爱同学暂停那个抖音上同步给大家抽这个摇摇乐和这个答题卡的哈，
[00:05:53] 大家很多没有答题卡的。
