[00:00:00] 窗外的麻雀在电线杆上多嘴。
[00:00:13] 说这一句很有夏天的感觉，
[00:00:19] 手中的铅笔。
[00:00:22] 在纸上来来回回，
[00:00:26] 我用几样字形容你是我的谁？
[00:00:32] 知道你的滋味，
[00:00:35] 抱怨你不想了解你初恋的伤，
[00:00:40] 我就这样被我。
[00:00:44] 也不虚伪，
[00:00:46] 那温暖的谎言，
[00:00:48] 我想留在夜里才对你说，
[00:00:53] 你什么都知道，
[00:00:56] 这一种感。
[00:00:57] 放开放个世界，
[00:01:01] 我的爱溢出就像雨水。
[00:01:06] 你的落叶跟我的思念厚厚一叠，
[00:01:13] 几几几十倍也无法将我的。
[00:01:18] 世界突然变成现在。
[00:01:22] 我是个美丽的小景点，
[00:01:28] 我的爱。
[00:01:30] 爱情就像雨水吹干，
[00:01:33] 路边像诗里纷飞的美丽照片，
[00:01:39] 我接着写那个永远爱你。
[00:01:44] 小爱同学播放分手快乐。
[00:01:51] 即将邂逅梁静茹的分手快乐。
[00:02:03] 嗯。
[00:02:30] 我无法帮你预言委屈求全，
[00:02:35] 有没有用？
[00:02:37] 可是我多么不舍朋友爱的那么。
[00:02:43] 体贴爱可以不问对错，
[00:02:47] 只留下些担忧。
[00:02:50] 如果他曾为别人撑伞。
[00:02:54] 你何苦非为他头在耳边喝咖啡，
[00:02:59] 让你难受，
[00:03:01] 想等等你心口里的风，
[00:03:05] 你却想上街。
[00:03:07] 走走吹吹冷风，
[00:03:10] 会提醒更多闭上眼，
[00:03:13] 不怕感受，
[00:03:15] 只要你一个难过。
[00:03:18] 情人节就要来了，
[00:03:20] 剩自己一口，
[00:03:22] 其是为爱情的人，
[00:03:24] 情人节每天都和我一起唱分手快乐。
[00:03:30] 不想过冬，
[00:03:32] 厌倦沉重就飞去热带的岛屿游泳分手快。
[00:03:43] 小爱同学播放陈羽凡不要对他说。
[00:03:52] 好的，
[00:03:52] 小爱想陪你一起听会员歌曲，
[00:03:56] 陈羽凡的不要对他说。
[00:04:00] 嗯。
[00:04:05] 现在清晨时分，
[00:04:08] 走出你家的巷口。
[00:04:11] 看着昨天擦肩而过，
[00:04:15] 为熄灭的街灯问我到底。
[00:04:19] 告别了什么？
[00:04:25] 当我失去你那眼中美丽的温柔，
[00:04:30] 当你决定就此放手。
[00:04:33] 说。
[00:04:34] 每个生命只有三天，
[00:04:38] 没有。
[00:04:39] 剩下些什么？
[00:04:43] 除了尘埃。
[00:04:49] 陪你到日出，
[00:04:52] 把你看清楚，
[00:04:54] 孤单累了，
[00:04:56] 等你看了睡得好无辜，
[00:05:00] 在你耳边轻轻说出最后。
[00:05:04] 要求不要对他说猪一样的话，
[00:05:10] 不要对他说夜里会害怕。
[00:05:15] 别说每多晚都会等他的电话，
[00:05:20] 别说你知心的。
[00:05:23] 她送的玫瑰花，
[00:05:25] 因为珍惜。
[00:05:27] 虚化几样残留的梦小艺小艺。
[00:05:38] 小爱同学播放张信哲宽容。
[00:05:43] 小爱同学停我在。
[00:05:49] 小爱同学停。
[00:05:52] 好了，
[00:05:53] 所有的同学，
[00:05:53] 大家可以把自己家乡的名字呢敲在评论区，
[00:05:57] 让我看一下你们都是哪个地方的人？
[00:05:59] 哎，
[00:05:59] 看一下大家都是哪个地方的人？
[00:06:02] 我们直播呢，
[00:06:03] 马上也就开始了哈，
[00:06:05] 你看互联网创业呢，
[00:06:06] 就是好哈，
[00:06:07] 你可以能够接触到全国各地的同学们。
[00:06:10] 我们这节课呢，
[00:06:11] 就带着大家把分论点。
[00:06:13] 找一下很多同学的话呢，
[00:06:16] 每年大作文，
[00:06:17] 其实最大的问题就是出现在分论点的寻找上。
[00:06:21] 分论点的寻找呢，
[00:06:23] 就像我们盖房子的时候，
[00:06:25] 那个框架，
[00:06:26] 如果你的框架扎偏了，
[00:06:28] 整体来讲呢。
[00:06:29] 这个考试啊，
[00:06:30] 也就惨不忍睹了，
[00:06:31] 所以大家务必在分论点的寻找上把它给我搞定，
[00:06:35] 千万不要出现任何的问题好吧？
[00:06:38] 好了，
[00:06:38] 那我问大家一下，
[00:06:40] 你觉得在我们考试的时候，
[00:06:42] 大作文的考试一共有几种命题的方式？
[00:06:45] 哪位同学可以告诉我？
[00:06:47] 在我们考试的时候，
[00:06:49] 大作文的考察的方式一共有三种命题方式，
[00:06:53] 第一种叫单主题，
[00:06:55] 第二种叫双主题，
[00:06:56] 第三种叫。
[00:06:57] 多主题，
[00:06:58] 现在大家能够听清楚了哈。
[00:07:00] 其中的话呢，
[00:07:01] 你们觉得绝大多数时候我们的分论点可能有几个哪位同学可以告诉我？
[00:07:08] 绝大多数时候，
[00:07:09] 分论点可能有几个，
[00:07:11] 一般分论点的话呢，
[00:07:12] 都是有三个啊，
[00:07:14] 当然个别时候也可能有四个，
[00:07:16] 再多了就不太好了。
[00:07:18] 为什么我们正常的写一篇申论的大作文，
[00:07:22] 大家觉得一共是有几个自然段？
[00:07:25] 它可能有五个资产段，
[00:07:27] 这五个资产段是怎么分配的？
[00:07:30] 这五个资产段第一个资产段写开头。
[00:07:34] 最后一个自然段写结尾，
[00:07:36] 中间的话呢，
[00:07:37] 它就是分论点一分论点二，
[00:07:40] 还有分论点三。
[00:07:42] 各位，
[00:07:42] 如果是一个1000字的大作文，
[00:07:45] 你们告诉我平均每一个点大约可以写多少个字？
[00:07:50] 基本上我们在考试的时候就把它进行一个平均分配，
[00:07:54] 平均每个点呢，
[00:07:55] 你就把它搞成200个字左右也就可以了。
[00:07:59] 啊，
[00:07:59] 200个字左右也就可以了，
[00:08:01] 当然有个别时候在国考的过程当中，
[00:08:05] 他让你写1200字。
[00:08:07] 请问1200字有没有可能出现第四个分类点？
[00:08:11] 1200字的话，
[00:08:13] 你要记住了，
[00:08:14] 它有可能偶尔的时候会出现第四个分类点。
[00:08:18] 所以大家也把它给我记清楚了好了，
[00:08:21] 那我问大家一下，
[00:08:22] 这个时候我们先要给大家明确几个理论知识，
[00:08:26] 第一个。
[00:08:27] 分论点。
[00:08:29] 它的来源是什么？
[00:08:31] 有没有同学能够告诉我分论点的来源？
[00:08:35] 大家觉得它可能来源于什么？
[00:08:38] 分裂门来源第一个，
[00:08:40] 它可能来源于题干。
[00:08:43] 第二个，
[00:08:43] 它可能来源于材料，
[00:08:45] 基本上就是这两个，
[00:08:47] 一定把它给我记住了，
[00:08:49] 第二个的话呢，
[00:08:50] 我问大家下。
[00:08:52] 分论点，
[00:08:52] 它涉及到的要素可能有什么？
[00:08:56] 哪位同学能够告诉我？
[00:08:59] 分论点，
[00:09:00] 它的要素和总论点的要素完全是一模一样的。
[00:09:05] 分论点，
[00:09:06] 它的要素就是包含了对策。
[00:09:09] 还有一个影响，
[00:09:10] 在实际考试的时候，
[00:09:12] 我问大家一下，
[00:09:14] 如果我的脑子。
[00:09:15] 你们也知道我的脑子比较笨，
[00:09:18] 但是我就问大家一下，
[00:09:20] 像我这种笨的脑子，
[00:09:21] 在考试的时候是找对策还是去找影响？
[00:09:25] 不管是从题干当中找，
[00:09:26] 还是从材料当中找，
[00:09:28] 只能找一个我时间又是有限，
[00:09:30] 我的脑容量又不够。
[00:09:32] 这个时候我分论点是找对策也就可以了好吧，
[00:09:37] 第三个我问大家一下分论点的形式。
[00:09:42] 一起把它给我搞定，
[00:09:44] 分论点的形式，
[00:09:46] 你们告诉我分论点。
[00:09:48] 它的形式一共在考试的时候有几种形式，
[00:09:52] 哪位同学能够告诉我，
[00:09:55] 快点告诉我。
[00:09:56] 分论点的形式，
[00:09:57] 我给大家说了，
[00:09:59] 第一种是总论点，
[00:10:00] 加上一个对策，
[00:10:02] 这种叫做什么文章？
[00:10:03] 是不是叫侧导文？
[00:10:05] 第二种是总论点。
[00:10:07] 加上一个影响，
[00:10:09] 这种是叫什么文？
[00:10:11] 这种是叫正论文。
[00:10:14] 第三种是叫总论点，
[00:10:16] 加上一个对策，
[00:10:17] 再加上一个影响，
[00:10:19] 这种是叫什么？
[00:10:21] 这种是叫？
[00:10:22] 议论文啊，
[00:10:23] 这种是叫议论文，
[00:10:24] 大家记住了也就可以了，
[00:10:26] 好了，
[00:10:27] 那我问大家下找对策的话，
[00:10:29] 找分论点，
[00:10:30] 从题干当中找，
[00:10:31] 我觉得非常简单，
[00:10:33] 我就在题干当中。
[00:10:34] 如果是找对策的话，
[00:10:36] 主要阅读什么样？
[00:10:38] 用的词语，
[00:10:39] 哪位同学可以告诉我是不是主要找动词，
[00:10:43] 再加上一个事情也就可以了，
[00:10:45] 但是从材料当中找。
[00:10:47] 大家觉得从材料当中找我们应该怎么找大家一起写，
[00:10:53] 从材料当中找就是比较快的方式。
[00:10:56] 就是大家一定记住了，
[00:10:58] 就是我们给大家讲的粗读，
[00:11:01] 各位反正你找对策嘛，
[00:11:03] 找对策它就是分论点和找总括词。
[00:11:06] 和找前置词是一样的，
[00:11:08] 粗读读什么？
[00:11:09] 哪位同学可以告诉我，
[00:11:11] 你到材料当中主要。
