[00:00:31] 嗯。
[00:00:43] 这一刻，
[00:00:46] 突然觉得好伤心。
[00:00:51] 像昨天，
[00:00:54] 今天同时在放映。
[00:00:59] 我这句语气原来好像你。
[00:01:05] 不就是我们爱过的证据差一点骗了自己，
[00:01:15] 骗了你。
[00:01:16] 啊。
[00:01:18] 但预备爱不一定成正比。
[00:01:25] 痛到被疼是一种运气。
[00:01:31] 但我无法完全交出自己努力为你改变，
[00:01:40] 却变不了。
[00:01:42] 雨露的浮现，
[00:01:45] 以为在你身边，
[00:01:48] 那也算永远。
[00:01:50] 仿佛还是昨天还是昨天，
[00:01:54] 黑色照亮了。
[00:01:57] 能闭上我双眼，
[00:02:00] 我还看得见。
[00:02:04] 可惜不是你陪我到最后，
[00:02:10] 曾一起走却走失那。
[00:02:15] 可以感谢的是你牵过我的手。
[00:02:24] 还能感受那。
[00:02:27] 温柔。
[00:02:29] 同学们，
[00:02:30] 抖音同步给你们出那个摇摇乐和答题卡的啊，
[00:02:37] 如果你们需要的话。
[00:02:40] 就在抖音和。
[00:02:42] 抖音上出吧好吧。
[00:02:44] 哎，
[00:02:45] 人生一辈子也挺不容易的啊。
[00:02:48] 然后呢，
[00:02:49] 大家只要能够多中几个奖，
[00:02:51] 能够让你有一些物质价值和情绪价值，
[00:02:55] 我也就算对得起大家。
[00:02:57] 很感谢所有的同学对我的支持，
[00:02:59] 好吧。
[00:03:00] 然后呢？
[00:03:01] 也是不容易啊。
[00:03:05] 给你们放首歌吧。
[00:03:08] 放一首什么样的歌呢？
[00:03:14] 翻译说如愿吧。
[00:03:40] 啊。
[00:03:48] 你是遥遥的路，
[00:03:52] 深夜到屋里的灯。
[00:03:56] 不是孩童吗？
[00:03:59] 走在你的眼眸，
[00:04:03] 你是明月清风。
[00:04:06] 我是你祝福的梦小爱同学，
[00:04:11] 今日不见到一生与你相拥。
[00:04:17] 而我将爱你所爱的一切，
[00:04:21] 任你所骗的消遣，
[00:04:25] 你的生活开始再见。
[00:04:28] 请带我去，
[00:04:30] 明天为爱上你醉过那么多天。
[00:04:36] 我要变成你的眼，
[00:04:39] 你不管它运用了吗？
[00:04:42] 这就是爱。
[00:04:44] 一起。
[00:05:16] 你随你，
[00:05:18] 随着长河星火燃起的天空。
[00:05:24] 要是仰望着，
[00:05:27] 就把你唱成歌，
[00:05:31] 我是你，
[00:05:32] 我之所来，
[00:05:35] 你是我心之所归。
[00:05:39] 世间所有的人将能与你相逢，
[00:05:45] 而我想爱你，
[00:05:47] 心爱的人间。
[00:05:50] 愿你夏天的夏天一个手不攀上，
[00:05:56] 再见，
[00:05:56] 请带我去明天。
[00:05:59] 如果说你已经哭过，
[00:06:03] 我的天，
[00:06:05] 我就活着，
[00:06:07] 为了你我。
[00:06:09] 那么，
[00:06:10] 任由我的就像是每一天。
[00:06:16] 大声说，
[00:06:17] 我要飞回天涯，
[00:06:19] 望寻找寻找心心永远的眺望。
[00:06:23] 啊，
[00:06:23] 天黑死了啊，
[00:06:25] 你还笑一笑。
[00:06:27] 像你深爱的那一。
[00:06:30] 啊。
