[00:00:00] 那是每一天刚好可以更从容，
[00:00:06] 不要迷茫，
[00:00:08] 不要慌张，
[00:00:10] 太阳下山。
[00:00:12] 还有月光，
[00:00:14] 还会把人生照亮，
[00:00:17] 陪你到想去的地方，
[00:00:21] 不要彷徨，
[00:00:23] 不要沮丧，
[00:00:25] 月亮水。
[00:00:26] 啊，
[00:00:27] 还有这样抬头看，
[00:00:30] 天已经灰亮，
[00:00:32] 太多人怀疑，
[00:00:34] 永远看待。
[00:00:36] 你身旁。
[00:00:51] 世上每个人花季不同，
[00:00:55] 你也会很美好相逢，
[00:01:00] 张开双臂相逢，
[00:01:03] 那时你听。
[00:01:05] 刚好跟我更从容，
[00:01:09] 不要迷茫，
[00:01:11] 不要慌张，
[00:01:13] 太阳下山。
[00:01:16] 还有月光可会把人生路照亮，
[00:01:21] 愿你到想去的地方不要彷徨。
[00:01:27] 不要起早，
[00:01:29] 月亮睡了，
[00:01:30] 还有秋阳抬头看，
[00:01:34] 天已经灰亮，
[00:01:36] 太月亮还如愿看到。
[00:01:40] 你身旁不要迷茫，
[00:01:44] 不要慌张，
[00:01:46] 太阳下山，
[00:01:49] 还有月光。
[00:01:51] 他会把人生照亮，
[00:01:54] 陪你到想去的地方，
[00:01:58] 不忧彷徨，
[00:02:00] 不要沮丧。
[00:02:02] 月亮睡了，
[00:02:04] 还有秋阳抬头看，
[00:02:07] 天已经灰亮，
[00:02:10] 好多人怀入，
[00:02:12] 眼如徘徊。
[00:02:14] 你身旁。
[00:02:29] 小爱同学嗯，
[00:02:32] 播放。
[00:02:33] 像我这样的人，
[00:02:35] 毛不易。
[00:02:37] 好呀，
[00:02:38] 小艾和你一起欣赏会员，
[00:02:42] 尊享歌曲毛不易的，
[00:02:46] 像我这样的人。
[00:02:54] 像我这样优秀的人，
[00:02:58] 本该灿烂过一生。
[00:03:02] 怎么20多年到头来还在人海里浮沉？
[00:03:10] 像我这样聪明的人，
[00:03:14] 早就告别了单纯。
[00:03:17] 怎么还是用了一段情去换一身伤痕，
[00:03:25] 像我这样迷茫的人。
